geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-445095	Interaction between L1 and Ankyrins	http://reactome.org/PathwayBrowser/#/R-HSA-445095	31	11	2.2325405098076376	4.927122241086588	5.594368788108817e-6	0.005973823223868635	11280;288;3897;4897;6323;6326;6329;6331;6335;6336;6712	SCN11A;SCN9A;SPTBN2;SCN5A;SCN10A;L1CAM;SCN4A;NRCAM;SCN2A;SCN1A;ANK3
R-HSA-168256	Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168256	1997	191	143.81881929309202	1.3280598529373007	6.914147249847957e-6	0.005973823223868635	1;100131439;10159;10197;10321;10346;10394;10396;10437;10458;10475;10517;10666;10671;1072;10762;10788;10892;10913;11035;11059;11126;11240;11322;114876;115004;115362;1235;126014;1278;135892;1380;140683;142686;1432;1438;1441;1445;146722;146894;147945;1489;151636;151888;1519;154664;160364;163351;1675;1729;175;177;197;2205;2208;2209;222487;23304;23308;23495;245927;2475;25;2548;258010;26046;26191;2633;282617;28511;285231;29992;301;3162;329;338;3383;3426;3433;3434;3454;353376;353514;3554;3556;3559;3563;3590;3667;3687;3689;3984;4125;4205;4210;4261;4314;4360;441864;4582;4599;4615;4651;4684;4771;4846;4928;4938;4939;5023;504180;50489;50616;50852;51284;51297;51311;51316;51719;5175;5199;5293;5306;5328;53833;55008;5534;55540;55740;5591;5610;56244;5648;56954;57126;5768;5781;5787;5788;5799;5803;58480;5903;60401;6041;6363;64109;64170;6672;6712;6804;7099;7100;712;713;7133;7293;7297;7324;7325;7337;7498;7520;81030;84061;8411;842;84643;84766;84861;85480;8737;8808;8826;8887;89890;912;9173;9180;9208;93100;933;940;941;943;9466;948;976;9818;9820;9976	ICOSLG;ITGB2;MEF2A;NLRP4;CD300LG;TRAT1;DTX3L;FBXW12;CGAS;COL1A2;NOS3;KBTBD6;NKIRAS2;IRS1;UBE2E1;OSCAR;GAA;PIK3CD;FBXW10;MALT1;CLEC12A;CCL19;CFL1;MYD88;C1QB;C1QA;SPTBN2;PITPNA;IL20RB;BAIAP2;CD28;PTPN11;CIITA;FCER1A;ABCA13;XRCC5;ATP6AP2;UBE2E2;ADGRG3;GBP6;PTPRC;IL3RA;MUC1;IFIT1;CD300LF;BTLA;NF2;DEFB105B;TNFRSF4;LILRA5;TLR5;CARD9;IL1RAP;APOB;TLR7;IFNL3;PILRA;CFD;SVIP;BPIFA1;CSF2RA;MTOR;LTN1;BTNL2;AGER;CD300LD;CD177;CFI;CRLF2;DEFB113;IFI30;PPP3R1;OAS1;ASB14;TNFRSF13B;TICAM2;TARM1;PRKDC;ICAM1;CTSO;MRC1;PECAM1;NUP50;CRISP3;ABL1;KLHL22;HMOX1;TLR8;MAGT1;EEA1;MEFV;CSK;DCTN6;MAN2B1;FCER2;IL27RA;TYK2;CD22;TAX1BP1;STX1A;PTPRZ1;LIMK1;P2RX1;BIRC2;NUP98;CLEC2B;OAS2;MAPK14;TRIM38;CCR6;NIT2;UBE3A;UBR2;IL1R1;IL1RL2;IL1RL1;CD207;QSOX1;RHOU;PADI2;GBP1;CD160;CR2;TNFRSF1B;CSF3R;IFIT2;TNFRSF8;A1BG;CD80;PLAU;WWP1;ADGRE5;AGA;ZBP1;ATP8A1;LRRFIP1;CFP;MASP1;IL22;PTPRB;CUL7;RIPK3;CRACR2A;BPIFA2;EDA2R;PSME3;DIAPH1;TRIM22;CASP9;PTPN22;IL2RA;ANXA1;CD36;RNASEL;CAB39;EDAR;TLR4;IL11RA;RIPK1;EIF2AK2;HERC6;IL17RB;NUP58;IQGAP1;ITGAX;KIF2B;OSBPL1A;TMC6;IFNAR1;AHSG;PLAC8;MYO10;OSMR;IQGAP2;TSLP;TRIM50;NAPRT;NCAM1;MMP3;CTF1;FCGR1A;CD226;RANBP2;ENAH;GBP5;PTPRN2;PRG3;SP100;MX1;XDH;CD1D
R-HSA-1280215	Cytokine Signaling in Immune system	http://reactome.org/PathwayBrowser/#/R-HSA-1280215	688	75	49.547995830569505	1.5136838280293758	1.6141709818129346e-4	0.08688942618935869	10197;10346;10437;10475;1072;10762;10913;115362;1278;1432;1438;1441;1489;163351;177;2208;2209;23495;2633;282617;28511;301;3162;329;3383;3433;3434;3454;3554;3556;3559;3563;3590;3667;3687;3689;4205;4261;4314;4582;4599;4615;4684;4928;4938;4939;50616;5293;5306;53833;55540;5610;5781;5803;58480;5903;60401;6041;6363;64109;6672;6804;7133;7293;7297;7324;85480;8808;9173;9180;941;943;9466;948;9818	ITGB2;MEF2A;COL1A2;NKIRAS2;IRS1;UBE2E1;PIK3CD;CCL19;CFL1;MYD88;PITPNA;IL20RB;PTPN11;CIITA;GBP6;IL3RA;MUC1;IFIT1;TNFRSF4;IL1RAP;IFNL3;CSF2RA;AGER;CRLF2;IFI30;OAS1;TNFRSF13B;ICAM1;NUP50;HMOX1;FCER2;IL27RA;TYK2;STX1A;PTPRZ1;BIRC2;NUP98;OAS2;MAPK14;TRIM38;IL1R1;IL1RL2;IL1RL1;RHOU;GBP1;TNFRSF1B;CSF3R;IFIT2;TNFRSF8;CD80;IL22;EDA2R;PSME3;TRIM22;IL2RA;ANXA1;CD36;RNASEL;EDAR;IL11RA;EIF2AK2;IL17RB;NUP58;ITGAX;IFNAR1;OSMR;TSLP;NCAM1;MMP3;CTF1;FCGR1A;RANBP2;GBP5;SP100;MX1
R-HSA-1474290	Collagen formation	http://reactome.org/PathwayBrowser/#/R-HSA-1474290	90	17	6.4815692220221734	2.6228216374269007	2.0113293099388585e-4	0.08688942618935869	1278;1282;1286;1292;1294;131873;140766;169044;255631;256076;283208;3909;4314;4322;5339;5351;84570	COL1A2;COL22A1;COL24A1;COL6A5;PLEC;COL4A4;COL4A1;PLOD1;COL25A1;COL6A6;COL7A1;LAMA3;MMP13;ADAMTS14;COL6A2;P4HA3;MMP3
R-HSA-8964046	VLDL clearance	http://reactome.org/PathwayBrowser/#/R-HSA-8964046	6	4	0.4321046148014782	9.25701754385965	3.5598926409063925e-4	0.12302988966972493	338;346;51599;55911	APOBR;APOB;APOC4;LSR
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814	67	13	4.825168198616507	2.6942065985860175	8.463987709669274e-4	0.21308201668048365	1278;1282;1286;1292;1294;131873;140766;169044;255631;256076;283208;5351;84570	COL1A2;COL22A1;COL24A1;COL6A5;COL4A4;COL4A1;PLOD1;COL25A1;COL6A6;COL7A1;ADAMTS14;COL6A2;P4HA3
R-HSA-8948216	Collagen chain trimerization	http://reactome.org/PathwayBrowser/#/R-HSA-8948216	44	10	3.1687671752108404	3.1558014354066986	9.273821527316928e-4	0.21308201668048365	1278;1282;1286;1292;1294;131873;169044;255631;256076;84570	COL1A2;COL22A1;COL24A1;COL6A5;COL4A4;COL4A1;COL25A1;COL6A6;COL7A1;COL6A2
R-HSA-216083	Integrin cell surface interactions	http://reactome.org/PathwayBrowser/#/R-HSA-216083	85	15	6.121482043020942	2.4503869969040246	9.86490817965202e-4	0.21308201668048365	1278;1282;1286;1292;1294;131873;256076;3383;3681;3682;3687;3689;375790;5175;7450	ITGB2;COL1A2;COL6A5;COL4A4;COL4A1;AGRN;ITGAE;COL6A6;ICAM1;PECAM1;VWF;COL7A1;ITGAX;COL6A2;ITGAD
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	http://reactome.org/PathwayBrowser/#/R-HSA-2022090	61	12	4.393063583815029	2.731578947368421	0.0011685436711961206	0.22436038486965515	1278;1282;1286;1292;1294;131873;255631;256076;3909;4314;4322;5339	COL1A2;COL24A1;COL6A5;PLEC;COL4A4;COL4A1;COL6A6;COL7A1;LAMA3;MMP13;COL6A2;MMP3
R-HSA-913531	Interferon Signaling	http://reactome.org/PathwayBrowser/#/R-HSA-913531	197	26	14.187434852648536	1.8326075340635852	0.001905652998634766	0.32929683816408756	10346;10437;10475;10762;115362;163351;2209;2633;3383;3433;3434;3454;4261;4599;4684;4928;4938;4939;5610;5781;5903;6041;6672;7297;7324;9818	UBE2E1;PTPN11;CIITA;GBP6;IFIT1;IFI30;OAS1;ICAM1;NUP50;TYK2;NUP98;OAS2;TRIM38;GBP1;IFIT2;TRIM22;RNASEL;EIF2AK2;NUP58;IFNAR1;NCAM1;FCGR1A;RANBP2;GBP5;SP100;MX1
