geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-1474290	Collagen formation	http://reactome.org/PathwayBrowser/#/R-HSA-1474290	90	45	23.580972235383303	1.9083182640144665	1.0830516194992867e-6	0.0011620782381172035	1278;1281;1282;1286;1289;1290;1292;1294;1299;1301;1302;1303;1306;1307;1308;131873;140766;169044;255631;256076;283208;340267;3655;3691;3909;3914;3918;4017;4314;4318;4322;5033;5339;5351;5352;57642;7092;7093;7373;7837;84570;84695;85301;91522;9508	COL22A1;COL24A1;COL6A5;PLEC;COL4A4;COL4A1;COL14A1;COL16A1;COL27A1;LAMB3;COL11A2;COL5A2;COL15A1;COL6A6;ITGA6;COL9A3;TLL2;COL12A1;PXDN;COL5A1;ITGB4;COL23A1;LAMA3;ADAMTS14;LAMC2;COL11A1;ADAMTS3;COL1A2;PLOD1;COL25A1;COL7A1;MMP13;COL6A2;P4HA3;MMP3;COL3A1;COL17A1;COL28A1;MMP9;COL20A1;LOXL3;P4HA1;TLL1;LOXL2;PLOD2
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	301	116	78.86525158722638	1.4708632466822467	1.3449979607838003e-6	0.0011620782381172035	101;10319;10753;11095;11096;11131;1278;1281;1282;1286;1289;1290;1292;1294;1299;1301;1302;1303;1306;1307;1308;1311;131873;140766;1462;1463;164656;169044;170690;170692;1834;2;2192;2200;2201;2202;2243;2244;22795;2335;23473;255631;256076;283208;284217;3371;3383;3385;340267;3655;3672;3676;3681;3682;3684;3685;3687;3689;3691;3693;3694;375790;388743;3908;3909;3910;3911;3912;3914;3918;4017;4052;4053;4148;4236;4312;4314;4318;4320;4322;4327;4684;5033;5054;50848;5175;5339;5340;5351;5352;54829;5578;56999;57642;633;634;63923;6868;7092;7093;7373;7450;7837;84034;8425;84570;84695;8516;85301;8728;8751;91522;9508;960;9644;999	F11R;ITGB2;ADAMTS9;FBN1;COL22A1;ITGAM;COL24A1;COL6A5;ICAM3;A2M;ITGA8;PLEC;CEACAM1;COL4A4;TMPRSS6;COL4A1;COL14A1;AGRN;ITGAE;COL16A1;LAMA2;MMP1;COL27A1;LAMB3;CAPN8;COL11A2;COL5A2;COL15A1;NID2;COL6A6;ITGA1;LTBP4;PECAM1;ITGA6;COL9A3;TLL2;LAMA1;SERPINE1;ASPN;SH3PXD2A;VWF;COL12A1;LAMA4;ITGB6;ITGA4;EFEMP1;CD44;LTBP2;PLG;VCAN;CDH1;TNC;NCAN;PXDN;COL5A1;LAMA5;CAPN7;MATN3;EMILIN2;ITGB4;LTBP1;LAMC3;COL23A1;ADAMTS8;ADAM19;LAMA3;CAPN11;ADAMTS14;FBN2;LAMC2;ITGAX;ADAMTS18;COL11A1;ADAMTS16;ADAM17;DSPP;PRKCA;ADAMTS5;ADAMTS3;ITGAD;COL1A2;FBLN1;PLOD1;COL25A1;ICAM1;MMP11;COL7A1;MMP13;COL6A2;ADAM15;NCAM1;P4HA3;MMP3;COL3A1;FGA;LAMB1;FN1;TNN;MMP19;CAPN9;ITGAV;MFAP1;ADAM8;COL17A1;FGB;BGN;ITGB5;COL28A1;MMP9;COL20A1;COMP;LOXL3;P4HA1;TLL1;LOXL2;PLOD2
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-5620912	98	47	25.67705865630626	1.8304277226261212	2.8449237174932307e-6	0.0013920282310522225	10142;102800317;1069;10733;10806;11190;132320;1778;22832;22897;22994;22995;23322;23332;23354;26005;26123;261734;27077;347240;4867;5108;5116;51259;54801;54806;54903;54930;55125;55722;55755;57545;7846;79441;79598;79867;80184;80321;84131;8481;84902;85302;91147;9662;9738;9793;9814	PCNT;TMEM67;C2CD3;TCTN2;CEP135;PCM1;CEP97;KIF24;FBF1;DYNC1H1;SFI1;CEP290;HAUS3;HAUS5;TPTEP2-CSNK1E;HAUS4;CEP192;RPGRIP1L;CCP110;MKS1;B9D1;CEP164;TCTN3;CEP89;CEP250;AKAP9;OFD1;CC2D2A;AHI1;SDCCAG8;CDK5RAP2;CEP131;PLK4;NPHP1;CETN2;HAUS6;CEP78;CLASP1;TMEM216;CEP152;TUBA1A;CEP72;CEP162;CKAP5;CEP70;NPHP4;SCLT1
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	http://reactome.org/PathwayBrowser/#/R-HSA-2022090	61	33	15.982658959537572	2.0647377938517177	3.2222875718801447e-6	0.0013920282310522225	1278;1281;1282;1286;1289;1290;1292;1294;1299;1301;1302;1303;1306;1308;131873;255631;256076;3655;3691;3909;3914;3918;4017;4314;4318;4322;5339;7092;7093;7373;7837;84695;85301	COL24A1;COL6A5;PLEC;COL4A4;COL4A1;COL14A1;COL27A1;LAMB3;COL11A2;COL5A2;COL15A1;COL6A6;ITGA6;COL9A3;TLL2;COL12A1;PXDN;COL5A1;ITGB4;LAMA3;LAMC2;COL11A1;COL1A2;COL7A1;MMP13;COL6A2;MMP3;COL3A1;COL17A1;MMP9;LOXL3;TLL1;LOXL2
R-HSA-5693537	Resolution of D-Loop Structures	http://reactome.org/PathwayBrowser/#/R-HSA-5693537	34	21	8.90836728892258	2.357334326135518	1.3210342907465922e-5	0.004565494508820223	10524;10635;116028;146956;1763;197342;23514;348654;4683;472;51750;580;641;672;675;7156;79728;80198;83990;84464;9156	SPIDR;RMI2;GEN1;PALB2;SLX4;BLM;EME2;RTEL1;NBN;BRCA1;BRIP1;DNA2;BARD1;BRCA2;EME1;KAT5;EXO1;RAD51AP1;ATM;MUS81;TOP3A
R-HSA-8948216	Collagen chain trimerization	http://reactome.org/PathwayBrowser/#/R-HSA-8948216	44	25	11.528475315076282	2.168543481834621	1.611406467127985e-5	0.004640850625328596	1278;1281;1282;1286;1289;1290;1292;1294;1299;1301;1302;1303;1306;1307;1308;131873;169044;255631;256076;340267;57642;7373;84570;85301;91522	COL22A1;COL24A1;COL6A5;COL4A4;COL4A1;COL14A1;COL16A1;COL27A1;COL11A2;COL5A2;COL15A1;COL6A6;COL9A3;COL12A1;COL5A1;COL23A1;COL11A1;COL1A2;COL25A1;COL7A1;COL6A2;COL3A1;COL17A1;COL28A1;COL20A1
R-HSA-8874081	MET activates PTK2 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-8874081	30	19	7.860324078461101	2.4172031344183242	2.054096328452104e-5	0.0050706835079503375	10319;1278;1281;1289;1290;1301;1302;2335;255631;284217;3908;3909;3910;3911;3912;3914;3918;4233;85301	COL24A1;LAMA2;COL27A1;LAMB3;COL11A2;COL5A2;LAMA1;MET;LAMA4;COL5A1;LAMA5;LAMC3;LAMA3;LAMC2;COL11A1;COL1A2;COL3A1;LAMB1;FN1
R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	http://reactome.org/PathwayBrowser/#/R-HSA-5693568	33	20	8.64635648630721	2.313113047290263	3.163865258759557e-5	0.006833948958920644	10524;10635;116028;146956;1763;197342;23514;348654;4683;472;580;641;672;675;7156;79728;80198;83990;84464;9156	SPIDR;RMI2;GEN1;PALB2;SLX4;BLM;EME2;NBN;BRCA1;BRIP1;DNA2;BARD1;BRCA2;EME1;KAT5;EXO1;RAD51AP1;ATM;MUS81;TOP3A
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814	67	33	17.554723775229792	1.8798359018649968	4.265344440712582e-5	0.008008409308661868	1278;1281;1282;1286;1289;1290;1292;1294;1299;1301;1302;1303;1306;1307;1308;131873;140766;169044;255631;256076;283208;340267;5033;5351;5352;57642;7092;7093;7373;84570;85301;91522;9508	COL22A1;COL24A1;COL6A5;COL4A4;COL4A1;COL14A1;COL16A1;COL27A1;COL11A2;COL5A2;COL15A1;COL6A6;COL9A3;TLL2;COL12A1;COL5A1;COL23A1;ADAMTS14;COL11A1;ADAMTS3;COL1A2;PLOD1;COL25A1;COL7A1;COL6A2;P4HA3;COL3A1;COL17A1;COL28A1;COL20A1;P4HA1;TLL1;PLOD2
R-HSA-8875878	MET promotes cell motility	http://reactome.org/PathwayBrowser/#/R-HSA-8875878	41	23	10.74244290723017	2.1410400035284263	4.63449612769784e-5	0.008008409308661868	10319;1278;1281;1289;1290;1301;1302;2335;255631;284217;2889;3908;3909;3910;3911;3912;3914;3918;4233;64759;84951;85301;85440	COL24A1;LAMA2;COL27A1;LAMB3;COL11A2;COL5A2;LAMA1;MET;RAPGEF1;LAMA4;DOCK7;COL5A1;LAMA5;TNS4;LAMC3;LAMA3;TNS3;LAMC2;COL11A1;COL1A2;COL3A1;LAMB1;FN1
