geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-109582	Hemostasis	http://reactome.org/PathwayBrowser/#/R-HSA-109582	0.8429752066115702	1.99153749157859	0	0.02270433905146317	5	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_109582.png	5	5023;1084;140885;2811;57126	CD177;CEACAM3;GP1BA;P2RX1;SIRPA
R-HSA-168249	Innate Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168249	0.4290674274263631	1.688640602069703	0.018018017855693534	0.0874117053481332	15	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_168249.png	6	441864;6441;5023;1084;140885;290	ANPEP;CEACAM3;P2RX1;SFTPD;SIRPA;TARM1
R-HSA-168256	Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168256	0.33145689812322215	1.5508567105538524	0.030769230295857996	0.11730575176589304	23	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_168256.png	8	441864;6441;5023;27181;1084;140885;290;3434	ANPEP;CEACAM3;IFIT1;P2RX1;SFTPD;SIGLEC8;SIRPA;TARM1
R-HSA-6798695	Neutrophil degranulation	http://reactome.org/PathwayBrowser/#/R-HSA-6798695	0.4536452017781558	1.4487294405552835	0.0661764701016436	0.14019929364278508	10	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_6798695.png	5	441864;5023;1084;140885;290	ANPEP;CEACAM3;P2RX1;SIRPA;TARM1
R-HSA-1280215	Cytokine Signaling in Immune system	http://reactome.org/PathwayBrowser/#/R-HSA-1280215	0.5702479338842976	1.3846353982720125	0.09016393405670518	0.16165489404641775	5	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_1280215.png	5	3434;3454;4582;5897;1435	CSF1;IFIT1;IFNAR1;MUC1;RAG2
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933	0.49791729649440597	1.2076387261160895	0.18218623408021767	0.2785065590312816	5	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_198933.png	2	6441;27181	SFTPD;SIGLEC8
R-HSA-1280218	Adaptive Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-1280218	0.3627794867211078	0.9477320463465565	0.4830917851058368	0.665561481908606	6	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_1280218.png	2	6441;27181	SFTPD;SIGLEC8
R-HSA-381753	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753	0.3166666666666666	0.8387283892441817	0.7004608262651575	0.7033299697275479	6	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_381753.png	6	26211;219960;256144;26659;219484;119694	OR10Q1;OR2F1;OR4C3;OR51F2;OR5M8;OR7A5
R-HSA-392499	Metabolism of proteins	http://reactome.org/PathwayBrowser/#/R-HSA-392499	0.24270563039007817	0.8803309163626211	0.6642335717939155	0.7171733097880928	14	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_392499.png	2	6441;29093	MRPL22;SFTPD
R-HSA-418555	G alpha (s) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418555	-0.3335566607607962	-0.7347555481517212	0.8441064628084836	0.8394322466178754	7	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_418555.png	3	219484;119694;135	ADORA2A;OR51F2;OR5M8
R-HSA-388396	GPCR downstream signalling	http://reactome.org/PathwayBrowser/#/R-HSA-388396	-0.3140768017435915	-0.7528046997484005	0.8182912144184221	0.8863199526872182	10	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_388396.png	4	219484;119694;135;5173	ADORA2A;OR51F2;OR5M8;PDYN
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	-0.3545429155990845	-0.7796147693140695	0.7987577629829096	0.9284965422689974	7	./Project_myoLuc_aBSREL_lnOmega_GSEA/R_HSA_422475.png	3	23396;6336;1290	COL5A2;PIP5K1C;SCN10A
